ID,commenterID,articleID,comment,likes,commentID,replyID,date
5361,3250,262,"@Kevin McDonnell: well you have gotten your wish for the last 8/9 months. Let those who work in that industry start to make a living again.",28,9278085,9277881,"28mins ago"
5362,3251,262,"@Kieran Hayes: Or spending time with people beyond family – people who live on their own that might bee visiting family for just onee day and on their own the rest of time? For people without families who need to see friends or extended family? Like people in the hospitality (and other sectors) who have had their livelihoods destroyed, like business owners who may not be able to open their doors?",13,9278089,9277881,"25mins ago"
5363,3233,262,"@Franny Ando: it’s a choice between terrible and even worse….
Of course I sympathise with bar owners, but we cannot ignore the fact that opening the pubs will lead to more transmission which will lead to more illness and death.
Opening pubs right before the biggest get together of the year will cost lives. No pleasure in saying that, but it is a truth we cannot ignore",4,9278106,9277881,"7mins ago"
5364,3253,262,"@Richard: Putting on more busses. Full fleet not in use at the moment.",5,9278093,9277876,"21mins ago"
5365,3254,262,"As someone who has obeyed every single restriction so far during this pandemic despite living alone and feeling isolated at times I think the entire country should be opened up as from next week . What is Christmas without family interaction ? . Personally I think we will be headed to level 5 again in January as it looks like vaccine will not be available so let us celebrate this Christmas with families and friends . If we follow common sense rules over the Christmas period while enjoying our time with families and friends we can cope with whatever comes our way.",45,9278073,9278073,"35mins ago"
5366,3241,262,"@Mary Mc Carthy: Here Here",26,9278080,9278073,"31mins ago"
5367,3251,262,"@Mary Mc Carthy: Well said! The reality is we are likely to be in L5 regardless come Jan. Try to keep people separate through Christmas and you will have an avalanche of breaches, from just visiting that couple down thhe Road today, and only aunty Mary tomorrow and your bestie for just a glass of wine the day after to full on house parties and the consequence of that will be far more severe than sitting in a pub or a restaurant adhering to guidelines!!",20,9278092,9278073,"22mins ago"
5368,3257,262,"A level 0 exit strategy for Spring 2021 would also be nice. Unlikely HSE will be able to vaccinate everyone by February or March 2021.",10,9278061,9278061,"41mins ago"
5369,3241,262,"@Declan McArdle: Certainly 2 the vaccines should be rolled out to those at risk by then and then the rest of us can get it if we wish.",10,9278078,9278061,"32mins ago"
5370,3259,265,"Fine Gael have been trying very hard of late to push the narrative that Sinn Féin are the richest political party in the country! Hahaha!",296,9277771,9277771,"2hours ago"
5371,3260,265,"@Seán O’Loughlin: 4 million is greater than 79,000.",175,9277780,9277771,"2hours ago"
5372,3261,265,"@Denis Ryan: but you’d have to have read the article to know what you mean by that.",97,9277785,9277771,"2hours ago"
5373,3262,265,"@Denis Ryan: Fine Gael TD’s are all millionaires",99,9277797,9277771,"2hours ago"
5374,3261,265,"@Dean Dalton: jaysus… do they eat babies too?",48,9277804,9277771,"2hours ago"
5375,3263,265,"@Denis Ryan: seems like SF put money into their party whereas FG put money into their pockets.",87,9277827,9277771,"2hours ago"
5376,3262,265,"@David Clements: not that I’m aware of but they do bury reports about dead babies",120,9277835,9277771,"2hours ago"
5377,3259,265,"@Denis Ryan: FG consistently spend the most on their social media advertising and elections. It’s easy saying 4 million is greater than 79,000, but cumulatively how much is in FGs coffers? Also the individual Oireachtas members of FG are all up there as the richest Oireachtas members.",75,9277845,9277771,"2hours ago"
5378,3261,265,"@Dean Dalton: nicely played…",28,9277846,9277771,"2hours ago"
5379,3264,265,"The articles says Labour received €2500 but the caption shows €21,800. Am I missing something ?",7,9277849,9277771,"2hours ago"
5380,3265,265,"@Seán O’Loughlin: what part of SF press office do you work in",27,9277890,9277771,"1hour ago"
5381,3260,265,"@Seán O’Loughlin: When did an individual earning decent money become a dirty word. Success breeds success. Career politicians tend to be highly intelligent motivated individuals unlike some of the new SF TDs ie. The anti vaxxer from Clare.",23,9277923,9277771,"1hour ago"
5382,3266,265,"@Denis Ryan: career politicians tend to be highly intelligent.How long have you live here.most of of them are chancers & the rest of them just get Daddy’s seat when he pops his clogs",54,9277938,9277771,"1hour ago"
5383,3263,265,"@Denis Ryan: Richard Bruton alone is worth more than 4 million, why not give some of that to his party, you can go ask him about that instead of trying to throw muck at a dead man who left money in his will and can’t defend himself. Typical FGer Trumpian tactics.",45,9277959,9277771,"1hour ago"
5384,3260,265,"@Da Dell: Fg Trumpian? Are you really comparing a centre right party to Donald Trump? I never said anything about a dead man doing whatever he wished with his money. My problem is SF declaring that money in the north where political donations are dealt with differently and less fairly.",15,9277979,9277771,"1hour ago"
5385,3267,265,"@Da Dell: yes SF certainly do. Even money that isn’t theirs, like £30K in Covid emergency funds that would have stayed in the party only for the press snared them.",20,9277981,9277771,"1hour ago"
5386,3260,265,"@matthew o reilly: 100% Irish Matthew and most politicians (all sides of the house) have at least one if not two degrees.",2,9277985,9277771,"1hour ago"
5387,3267,265,"@Da Dell: Mary Lou isn’t short of a few bob either. Ever seen her house? The locals call it South Fork due to the colour and size. Not bad for somebody living on the average industrial wage but you know what they say, you can take the lady out of Rathgar but you can’t take Rathgar out of the lady.",13,9277986,9277771,"1hour ago"
5388,3268,265,"@Dean Dalton: and SF have never buried anything before …",17,9278011,9277771,"1hour ago"
5389,3268,265,"@Dean Dalton: and SF have never buried anything before …",6,9278012,9277771,"1hour ago"
5390,3269,265,"@Denis Ryan: you don’t need brains to be a SF TD, once you are able to follow order.",10,9278018,9277771,"57mins ago"
5391,3259,265,"@james foley: I don’t work for SF nor am I a member.",6,9278033,9277771,"49mins ago"
5392,3263,265,"@GrumpyAulFella: Oh should we all start listing the FG multiple mansions now .. how many houses had hogan for starters and dont get me going on where privileged Leo has resided his whole life ..",17,9278075,9277771,"35mins ago"
5393,3263,265,"@Denis Ryan: Yes FG are employing Trumpian tactics of mudslinging ..
FG enabled Apples Tax Avoidance on 14 billion",13,9278076,9277771,"33mins ago"
5394,3263,265,"@John Mulligan: And in FG you dont need to do anything other that follow Leo the furhers commands, which must be obeyed at all times.",13,9278079,9277771,"32mins ago"
5395,3270,265,"Quick, deflect from ffg ASAP.
Find something to blame the Shinners on.
YFF/YFG/Sprouts…. You’re up.",122,9277867,9277867,"2hours ago"
5396,3271,265,"So SF do recognise the border when it suits them.",104,9277803,9277803,"2hours ago"
5397,3263,265,"@Crocodylus Pontifex: So FG & FF dont recognize the border when it suits them.",146,9277820,9277803,"2hours ago"
5398,3259,265,"@Crocodylus Pontifex: SF have recognised the border since they became a party to the Good Friday Agreement.",91,9277853,9277803,"2hours ago"
5399,3272,265,"How can SF take a €4.6m donation when there is a limit of €2.5k on donations in Ireland? They should give all but €2.5k back to Mr Hampton’s poor family.",56,9277802,9277802,"2hours ago"
5400,3263,265,"@Fionn Darland: FG should then give money back to DOB",139,9277831,9277802,"2hours ago"
5401,3259,265,"@Fionn Darland: There are two jurisdictions on the island. One has a limit the other doesn’t. You know this Fionn.",115,9277851,9277802,"2hours ago"
5402,3273,265,"@Fionn Darland: If Mr Hampton wanted the money to go to anyone else he’d of stated that in his last Will & Testament
Are you stating that they should go against the dead mans wish? is you are you’d want to take a look at yourself, thats low",76,9277859,9277802,"2hours ago"
5403,3267,265,"@Seán O’Loughlin: yeah it’s like what U2 were getting a hiding over, tax avoidance is what it’s called in U2s case. In SF’s case it’s donation capping avoidance.",9,9277995,9277802,"1hour ago"
5404,3259,265,"@GrumpyAulFella: it’s not illegal though and most people that can do it will do it.",9,9278037,9277802,"48mins ago"
5405,3263,265,"@GrumpyAulFella: even if it was true, a pittance compared to FG enabled Apple’s tax avoidance on 14 billion",10,9278082,9277802,"30mins ago"
5406,3274,265,"“loophole”? So representing Irish people in the occupied area of our country is now a loophole. Those pesky shinners",75,9277860,9277860,"2hours ago"
5407,3275,265,"Obviously, people give money to the person who can pull the strings..",38,9277794,9277794,"2hours ago"
5408,3276,265,"Wonder where the Northern Bank money went?",24,9277900,9277900,"1hour ago"
5409,3277,265,"Ask a hundred people if they know what Sipo is? Just spell it out – stop making up phony words.",22,9277830,9277830,"2hours ago"
5410,3278,265,"@J Flood: Most people on here know what it means. Did you not read last week about FF rushing to get one of the gang planted before any enquiries start.",29,9278036,9277830,"49mins ago"
5411,3279,265,"Is there any real standards in public office,I’m asking for a friend.",27,9278021,9278021,"56mins ago"
5412,3280,265,"Disclosed being the key word here ……",15,9278005,9278005,"1hour ago"
5413,3281,265,"FG should campaign for a united Ireland if they have a problem with said loophole, rather than attacking SF. Their social media campaign on it in recent weeks was embarrassing.",35,9278108,9278108,"3mins ago"
5414,3282,267,"Its about time",430,9277735,9277735,"2hours ago"
5415,3283,267,"@Maurice O Neill:
Yes. It is.",138,9277905,9277735,"1hour ago"
5416,3241,267,"@Maurice O Neill: Are you using the freedom of a person to choose what they want do with their body to that of dogs being trained for sport?, term used loosely.
If so you and your ilk shouldn’t be allowed near a child born or unborn.",62,9277948,9277735,"1hour ago"
5417,3284,267,"@Maurice O Neill: get a grip… there is no comparison possible, what are u on.",40,9277967,9277735,"1hour ago"
5418,3285,267,"@Maurice O Neill: Nobody has a right to live off someone else’s bodily functions. It’s also cruel to bring severely disabled children into the world who spend their lives in agony. Nobody should be forced to bear a child that don’t for want for whatever umpteen reasons. Plenty of reasons for abortion and none for using taxpayers money to fund a widely condemned industry.",34,9277975,9277735,"1hour ago"
5419,3286,267,"@Maurice O Neill: Oh go away with you. Where does it say anything about abortion in the original post. Maybe it’s possible to believe greyhound racing is cruel AND abortion is wrong? Did you ever think about that?",27,9277984,9277735,"1hour ago"
5420,3287,267,"@Maurice O Neill: I think I preferred you better when you were confidently predicting a Trump victory.",21,9278004,9277735,"1hour ago"
5421,3288,267,"@Maurice O Neill: I’m guessing your involved in greyhound racing or a devout catholic? Both are terrible.",28,9278014,9277735,"1hour ago"
5422,3289,267,"Every year, thousands of young and healthy Greyhound dogs are killed merely because they lack winning potential, were injured while racing or are no longer competitive. … Racing Greyhounds routinely experience terrible injuries on the track such as broken legs, cardiac arrest, spinal cord paralysis and broken necks.
Terrible sport.
The Department of Agriculture vetoed the export of racing greyhounds to China in 2011, citing concerns about welfare standards there, but in 2016, they are seemingly turned a blind eye, stating there is “no ban on the export of greyhounds to China”.",337,9277754,9277754,"2hours ago"
5423,3290,267,"@Dave Barrett: hard to argue with any of that other than the injuries bit, depends on your definition of “routinely”, but having seen hundreds of races it wouldn’t meet the generally accepted definition.",27,9277811,9277754,"2hours ago"
5424,3291,267,"At the end of the day it’s a fiver out of every person’s annual income, a fiver that is commissioning cruelty and should instead be put to good use. I used to attend greyhound races, but my eyes have been opened and I’ve learned how these beautiful creatures are being treated.",304,9277805,9277805,"2hours ago"
5425,3283,267,"Honestly, I’ve voted for (and against) most of the main parties over the years for various reasons, but this has become a red line issue for me that I’m not willing to compromise on this any longer. Anyone who votes in favour of continued funding for greyhound racing loses my vote and support permanently.",161,9277841,9277841,"2hours ago"
5426,3283,267,"@Ribeard Ó Fiachna: Sorry, to be clear, I would support a move like this that doesn’t immediately cut off funding but offers a clear path to full withdrawal within a reasonable timeframe. That looks like the best balance for the animals.",60,9277878,9277841,"1hour ago"
5427,3292,267,"Any tds with friends in, the racing",105,9277749,9277749,"2hours ago"
5428,3288,267,"@Joseph Duggan: most of them, the TD’s are all dogs themselves. Shower of useless",40,9278017,9277749,"59mins ago"
5429,3293,267,"@Daniel Andrews: got to love all the usual know it all’s and there uneducated facts.
Mostly always from city people that wouldn’t know one end of a dog from another.
Focusing on the negatives, tarnishing all greyhound owners with the same brush.
Most of you aren’t even paying taxes but are draining the system. But yet your trying to tell me how to live in rural Ireland.
Same clowns commenting on the pandemic giving idiotic solutions",7,9278094,9277749,"20mins ago"
5430,3240,267,"I’ve taken the family to Curraheen Park Greyhound stadium a few times – special occasions like confirmations, communions etc. It’s a great night out – cheering on your dog, good food, time with the family etc.
So as an event/sport it’s great but the cruelty has to stop. No animal deserved to be treated like this.",82,9277765,9277765,"2hours ago"
5431,3294,267,"@Jim Buckley Barrett: is it though? I’ve been at a few corporate nights out watching dogs running in circles and I’ve always found it to be the most frightful bore. The food is invariably quite pedestrian and you might as well be watching the dogs on tv. Nearly all the races are decided by the first corner.",48,9278006,9277765,"1hour ago"
5432,3295,267,"She should concentrate on this pandemic and the devastation it is causing instead of again attacking the hard working people in rural Ireland.",64,9277714,9277714,"3hours ago"
5433,3296,267,"@francis walsh: Does the statement of the fact that the industry is increasingly unpopular and costly constitute an “attack”?",391,9277728,9277714,"2hours ago"
5434,3297,267,"@francis walsh: from the article “In the middle of a pandemic, when there isn’t money available for things like domestic violence refuge spaces or disability support services, the Government not only continues to fund greyhound racing but increases the level of funding for the sector.” it’s right there, highlighted, IN A BOX….. Jesus wept, if this is rural ireland",273,9277748,9277714,"2hours ago"
5435,3298,267,"@francis walsh: I’m aa hard working person from rural irelamd and I don’t feel attacked in any way? In fact I’m in full support of cutting all funding to this ridiculous sport that is only still surviving because of tax payer money!",199,9277753,9277714,"2hours ago"
5436,3299,267,"@francis walsh: I’m a hard working person in rural Ireland and she’s not attacking me. I think a lot of people have had their eyes opened to this standards in this industry in recent years and don’t like what they see.",143,9277758,9277714,"2hours ago"
5437,3300,267,"@francis walsh: obviously you are one of the hoo raa Henry brigade. I live in rural Ireland so please dont talk for me. All blood sports should be banned and giving 2.4m of my tax money to a dying so called sport is a disgrace when there are hundreds of support groups looking for financial aid for years and are ignored. I’m sure this money could be used for people with more pressing needs.",113,9277784,9277714,"2hours ago"
5438,3290,267,"@francis walsh: as someone who supports greyhound racing even I can see that’s a huge misrepresentation of the article.",22,9277813,9277714,"2hours ago"
5439,3290,267,"@paul mccoy: greyhound racing isn’t a blood sport.",10,9277817,9277714,"2hours ago"
5440,3301,267,"@francis walsh: the greyhound industry is an attack on all hard working Irish people both rural and urban as it takes our tax money to prop itself up that could be better used elsewhere",38,9277920,9277714,"1hour ago"
5441,3302,267,"@francis walsh: I’m from rural ireland and want to see it gone. Put the money into the wildlife crime unit or into our villages and children. I also want the lurcher gangs persecuting the hares around my area gone too!",43,9277956,9277714,"1hour ago"
5442,3284,267,"@francis walsh: what article did u read…or just ur own agenda.",11,9277972,9277714,"1hour ago"
5443,3249,267,"@francis walsh: funny, I’m able to walk and chew gum at the same time.",5,9277989,9277714,"1hour ago"
5444,3300,267,"@Graham Manning: just goes to show how much you know. The hounds are blooded in training. Why do you think they chase the hare on the metal spike. I’ve witnessed trainers blooding the greyhound otherwise the dog wouldn’t even bother chasing the hare.",17,9278007,9277714,"1hour ago"
5445,3303,267,"Another day, another Social Democrat advocating a move towards an overly regulated nanny state",41,9277759,9277759,"2hours ago"
5446,3278,267,"@Alex Nevin: Are you a greyhound worrier yourself?",142,9277783,9277759,"2hours ago"
5447,3290,267,"@Alex Nevin: jebus thats a daft take. Shur let’s leave em off abusing and needlessly killing dogs. And I support greyhound racing btw.",61,9277821,9277759,"2hours ago"
5448,3239,267,"@Alex Nevin: you’re okay with the mistreatment of animals? The needless death of so many animals every year because they aren’t up to their owners standards? The government shouldn’t be wasting tax payers money on a sport with so much stigma attached to it. It should be going to organisations which can help the unwanted greyhounds.",54,9277850,9277759,"2hours ago"
5449,3283,267,"@Richard: Ah, he’s just a child. In a few years he’ll think back to stuff like this and wish he hadn’t been such a dope",24,9277919,9277759,"1hour ago"
5450,3286,267,"@Alex Nevin: Well if some folks won’t stop their cruelty to animals then I’m all for more laws (or if you want to be populist call it nanny state). If everybody behaved with consideration towards other living things then maybe we would need fewer laws. Unfortunately there are some big b*****ds out there.",16,9277993,9277759,"1hour ago"
5451,3304,267,"@Ribeard Ó Fiachna: one would hope so anyway unless he’s been reared and brainwashed to think otherwise",3,9278003,9277759,"1hour ago"
5452,3305,267,"“It is our view that funding should be suspended and diverted to animal welfare charities trying to deal with the sheer scale of the abuse and overproduction of greyhound.” “This industry receives over €16m annually in state funding…it is barbaric and cannot be allowed to continue.” The green party in October 2019.",52,9277882,9277882,"1hour ago"
5453,3306,267,"If the greyhound industry ( and include HRI) cannot survive without state support then they should both go under irrespective of the tax revenues earned from the related vice, gambling.
That’s the ONLY reason greyhound racing & horse racing plough on behind closed doors, which if anything allows for more opportunities in betting fraud, cheating with no public in attendance to spot unusual activity by owners…
Coursing is the academy for greyhound racing. Both activities need to be culled.",37,9277879,9277879,"1hour ago"
5454,3307,267,"A good example of the old Ireland we hate and are trying to move on from. Riddled with corruption and cronyism it continues to exist and be funded by taxpayers because of the same corruption. To stop funding would bring the alligators to the surface and the corrupts would then have to be identified. Of course we can’t have that, much easier to keep throwing taxpayers at it instead of doing the difficult job of cleaning up the industry and ousting the corrupt beneficiaries. That’s the problem with corruption, once you start a process of lies and deceit it perpetuates down through the decades. Solution – No corruption, or at the very least very strict penalties for ne’er do wells who want to go down that route. Greyhound racing as a sport and a spectacle is perfectly fine (Assuming there is no animal cruelty at the heart of it) but somewhere along the line persons decided to corrupt the sport, steal the profits and pocket them and here we are decades later trying to fix it. As we speak countless persons are trying to corrupt the process in the building of a children’s hospital or a grant system for co-living housing. The state MUST make sure there is no possibility to corrupt any initiative and that for those who do there are stiff penalties. Until they do, expect more of the same, until we eventually learn. This starts and finishes with Government, there will always be shysters trying to exploit.",34,9277865,9277865,"2hours ago"
5455,3290,267,"Hard to argue which much of that. Aside from, it’s not an “inherently cruel sport”, though a lot of current practises definitely are. And 4 years isn’t long enough to phase out gov funding. I very much support greyhound racing but not in anything like it’s current form. Disband the IGB, immeasurably unfit for purpose. Limited centralised breeding license regime with lifelong tracking and ban exports to any countries that treat the animals well, eg better than we currently do. expand drug testing with heavy fines, confiscations and bans for anyone found guilty. Same re any mistreatment of the dogs. Government funding should be conditional on all the above and changed over time to be proportional to other sports.",16,9277838,9277838,"2hours ago"
5456,3283,267,"@Graham Manning: I don’t know. Animals can’t make the choice to race, for a greyhound to be put at risk of injury (or worse, if the owner is unscrupulous) in the name of entertainment is something I can’t see any justification for. It’s a really grotty little industry that doesn’t seem to have much in its favour even when everything is done 100% ‘correctly’. Dogs deserve better.",61,9277892,9277838,"1hour ago"
5457,3308,267,"Sweeping statements about the industry being cruel is so insulting to all the greyhound owners and trainers who look after their dogs brilliantly. It’s like saying people who own pet dogs and cats are cruel because of the few who abuse these pets hence we have places that try to find good homes for dogs and cats. So should the government ban pets. As regards government funding they get it back in all sorts of taxes and it’s supporting hundreds of jobs. The solution is not about banning things it’s about better standards. The more you outlaw things the bigger we as a society tie ourselves up in knots",17,9277874,9277874,"2hours ago"
5458,3309,267,"Racing greyhounds is on the decline in the uk as well. 77 tracks used to operate in the uk now there is about 19 left . 15 tracks operated in london. Now there is one.
The public have clearly lost interest , and unlike the poor dogs ,it should be allowed to die off naturally .Without our money.",25,9278023,9278023,"56mins ago"
5459,3310,267,"Populist material by the Social Democrats because they have nothing else to offer, not even the noise made by S.F and Labour.",20,9277788,9277788,"2hours ago"
5460,3290,267,"@Laura McCarthy: is she wrong?",79,9277822,9277788,"2hours ago"
5461,3311,267,"@Laura McCarthy: I would rather the money go to the zoo than the greyhounds in fairness.",76,9277852,9277788,"2hours ago"
5462,3283,267,"@Laura McCarthy: Oh look, someone with a heap of purebred puppies on her profile.",31,9277872,9277788,"2hours ago"
5463,3310,267,"@Ribeard Ó Fiachna: do you want the picture of them now? 8 years later and i still have them, beautiful! what animal do you care for?",3,9278064,9277788,"40mins ago"
5464,3283,267,"@Laura McCarthy: Fair enough, I assumed you were a breeder and thus had a biased view of the situation based on your lack of support for the motion.
I have two rescue terriers myself.",7,9278071,9277788,"36mins ago"
5465,3312,267,"Thanks to Holly and the Social Democrats for doing this.
I fear The Greens are going to betray my vote yet again though.",23,9278000,9278000,"1hour ago"
5466,3313,267,"In my opinion there are people within the industry who are cruel,but it is not fair to tar them all with the same brush.the whole system needs to be regulated properly and also the people who are breeding other type of dogs to ensure that cruelty is stamped out",14,9277915,9277915,"1hour ago"
5467,3254,267,"As someone who has been involved in Animal Rescue for years Greyhounds experience more cruelty than anyone breed of dog . I have seen dogs killed and mistreated just because of their lack of speed . Commonly these dogs have their ears hacked off to remove the tattoo stamped on their ears which can identify their owners . I have seen dogs basically almost starved to death because their owners didn’t think they were worth feeding as they didn’t make the grade . Despite common misconceptions they made ideal pets as they are ‘couch potatoes’ . Look at the figures produced every year of dogs entering our pounds . Nearly 95% of greyhounds are murdered in these pounds . It’s a disgrace how they they are treated and anyone who supports thus industry should hang their heads in shame .",37,9278053,9278053,"44mins ago"
5468,3277,267,"These aren’t pets, they are working stock, but when you’re dealing with 99% of dogs treated humanely, you can lose the plot. Ban it or make it humane…… They do with horses (except for steeplechase – a wholly despicable form of racing).",7,9277828,9277828,"2hours ago"
5469,3283,267,"@J Flood: What’s the difference between a pet and ‘working stock’? Rescue greyhounds make fantastic pets, we’re not dealing with two different classes of animals here",50,9277897,9277828,"1hour ago"
5470,3284,267,"Anyone know where all the state support actually goes, aside from the back pockets of the big lads at the top…does anyone have to account for the spending??",31,9277982,9277982,"1hour ago"
5471,3314,267,"The taxpayers money should be giving to a charity of good cause homing and looking after these creatures not wasted on cruel stuff.",29,9278070,9278070,"36mins ago"
5472,3315,267,"What about the grants, subsidies the wind industry gets to destroy bogs and peat lands causing huge mudslides destroying salmon spawning grounds. The taxpayer is subsidising that as well.",9,9278052,9278052,"45mins ago"
5473,3316,267,"Defund immediately, and ban fox hunting and hare coursing while you are at it. Eecent people here are fed up bowing to inbred hicks who get off on animal cruelty",21,9278102,9278102,"12mins ago"
5474,3317,267,"@Ribeard Ó Fiachna: well said i totally agree",24,9278118,9277841,"1min ago"
5475,3318,267,"@Stephen: ” there uneducated facts”
*Snort*",13,9278119,9277749,"1min ago"
5476,3317,267,"Dogs are still being sent to horrific conditions in soain, pakistan and china and are sometimes still under irish owner name. No welfare checks or regulations being followed as often greyhounds are found crammed into containers with no food or water and no breaks. Even the person who has been put in charge of rehoming greyhounds has exported dogs to countries where there is horrific abuse. The vast majority of people were horrified by the rte programme and want to see greyhound racing banned. The money for greyhound racing should be given to animal.welfare rescues who still to this day are told take the greyhounds or i will shoot them. Apart from ispca animal charities see barely above zero funding and are the ones out saving lives and feeding 24/7 when dept of agriculture ispca and gardai dont. Makes me wonder why gov are so keen no matter how much money it costs us each yr to support greyhound racing. Even when so many lost their jobs they still up tje money they give them
Its a failing industry propped up massively by gov that majority of public want gone. Does that make sense? What hold have they on gov?",10,9278115,9278115,"2mins ago"
5477,3320,269,"Ah sure the poor pr”c” fishermen the seals are devouring there livelihood I’m sure the gombeen Healy Raes will defend these barbaric sorts. Absolutely boils my blood",225,9277681,9277681,"3hours ago"
